         1          1       2555
         1          1       5098
         1          1      10413
         1          1      15755
         1          1      30417
         1          1      31717
         1          1      49799
         1          1      51239
         1          1      60042
         1          1      62583
         1          1      78656
         1          1      78824
         1          1      83249
         1          1      86958
         1          1      91652
         1          1      99106
         2          2       4818
         2          2       9450
         2          2      21396
         2          2      64405
         2          2      65382
         2          2      77158
         2          2      79449
         2          2      98246
         3          3        189
         3          3      11707
         3          3      45144
         3          3      45550
         3          3      45648
         3          3      46471
         3          3      47041
         3          3      48818
         3          3      48888
         3          3      52078
         3          3      71442
         3          3      85712
         3          3      86551
         4          4       2345
         4          4      22379
         4          4      31069
         4          4      31178
         4          4      39072
         4          4      40932
         4          4      51631
         4          4      53512
         4          4      57515
         4          4      64405
         4          4      66646
         4          4      74096
         4          4      76975
         4          4      79449
         4          4      80535
         4          4      86788
         4          4      87369
         4          4      88940
         4          4      98246
         5          5       3668
         5          5       5185
         5          5       7300
         5          5       9394
         5          5      10109
         5          5      16706
         5          5      23040
         5          5      24554
         5          5      26049
         5          5      49759
         5          5      63626
         5          5      66646
         5          5      72358
         5          5      85712
         5          5      99941
         6          6        673
         6          6       8341
         6          6      10657
         6          6      44963
         6          6      47631
         6          6      67356
         6          6      77766
         6          6      88118
         7          7        281
         7          7       3953
         7          7       7545
         7          7      12056
         7          7      22174
         7          7      36743
         7          7      67811
         7          7      68539
         7          7      72684
         7          7      89680
         8          8       3421
         8          8       5413
         8          8      45144
         8          8      46471
         8          8      56942
         8          8      66703
         8          8      84426
         8          8      90755
         8          8      98933
         9          9       3040
         9          9      14148
         9          9      17608
         9          9      20643
         9          9      40335
         9          9      44776
         9          9      54782
         9          9      73667
         9          9      96328
         9          9      96718
        10         10      17441
        10         10      19135
        10         10      20298
        10         10      23515
        10         10      35868
        10         10      40943
        10         10      43051
        10         10      53494
        10         10      59820
        10         10      66529
        10         10      67940
        10         10      85640
        10         10      86026
        10         10      91288
        10         10      92121
        11         11       7190
        11         11       7964
        11         11      12305
        11         11      24746
        11         11      32107
        11         11      46032
        11         11      51657
        11         11      70932
        11         11      75605
        11         11      76463
        11         11      82229
        11         11      88631
        11         11      92490
